instance_number,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
10,concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",Show all countries and the number of singers in each country.,"['SELECT', 'country', ',', 'count', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'country']","['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']","['Show', 'all', 'countries', 'and', 'the', 'number', 'of', 'singers', 'in', 'each', 'country', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show all countries and the number of singers in each country. <query> "," 
SELECT country, COUNT(singer)
FROM country, singer
GROUP BY country
ORDER BY country;
</query>
</question>
"
11,concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",How many singers are from each country?,"['SELECT', 'country', ',', 'count', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'country']","['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']","['How', 'many', 'singers', 'are', 'from', 'each', 'country', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many singers are from each country? <query> "," 
  SELECT country, COUNT(singer)
  FROM Singer
  GROUP BY country
  ORDER BY country
</query>
"
12,concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),List all song names by singers above the average age.,"['SELECT', 'song_name', 'FROM', 'singer', 'WHERE', 'age', '>', '(', 'SELECT', 'avg', '(', 'age', ')', 'FROM', 'singer', ')']","['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']","['List', 'all', 'song', 'names', 'by', 'singers', 'above', 'the', 'average', 'age', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List all song names by singers above the average age. <query> "," 
SELECT
  song_name
FROM
  song
WHERE
  singer_age > (SELECT
    AVG(singer_age)
  FROM
    song)
"
13,concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),What are all the song names by singers who are older than average?,"['SELECT', 'song_name', 'FROM', 'singer', 'WHERE', 'age', '>', '(', 'SELECT', 'avg', '(', 'age', ')', 'FROM', 'singer', ')']","['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']","['What', 'are', 'all', 'the', 'song', 'names', 'by', 'singers', 'who', 'are', 'older', 'than', 'average', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are all the song names by singers who are older than average? <query> "," 
SELECT song.name
FROM song
JOIN singer
ON song.singer_id = singer.id
WHERE singer.age > (SELECT AVG(age)
FROM singer);

"
14,concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",Show location and name for all stadiums with a capacity between 5000 and 10000.,"['SELECT', 'LOCATION', ',', 'name', 'FROM', 'stadium', 'WHERE', 'capacity', 'BETWEEN', '5000', 'AND', '10000']","['select', 'location', ',', 'name', 'from', 'stadium', 'where', 'capacity', 'between', 'value', 'and', 'value']","['Show', 'location', 'and', 'name', 'for', 'all', 'stadiums', 'with', 'a', 'capacity', 'between', '5000', 'and', '10000', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show location and name for all stadiums with a capacity between 5000 and 10000. <query> "," 
SELECT 
  name, 
  location 
FROM 
  stadiums 
WHERE 
  capacity BETWEEN 5000 AND 10000;
"
15,concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",What are the locations and names of all stations with capacity between 5000 and 10000?,"['SELECT', 'LOCATION', ',', 'name', 'FROM', 'stadium', 'WHERE', 'capacity', 'BETWEEN', '5000', 'AND', '10000']","['select', 'location', ',', 'name', 'from', 'stadium', 'where', 'capacity', 'between', 'value', 'and', 'value']","['What', 'are', 'the', 'locations', 'and', 'names', 'of', 'all', 'stations', 'with', 'capacity', 'between', '5000', 'and', '10000', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the locations and names of all stations with capacity between 5000 and 10000? <query> "," 
SELECT 
  station_name, 
  station_location 
FROM 
  <bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos>"
16,concert_singer,"select max(capacity), average from stadium",What is the maximum capacity and the average of all stadiums ?,"['select', 'max', '(', 'capacity', ')', ',', 'average', 'from', 'stadium']","['select', 'max', '(', 'capacity', ')', ',', 'average', 'from', 'stadium']","['What', 'is', 'the', 'maximum', 'capacity', 'and', 'the', 'average', 'of', 'all', 'stadiums', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the maximum capacity and the average of all stadiums ? <query> "," 
SELECT
  MAX(capacity) AS max_capacity,
  AVG(capacity) AS avg_capacity
FROM
  stadium
"
17,concert_singer,"select avg(capacity) ,  max(capacity) from stadium",What is the average and maximum capacities for all stadiums ?,"['select', 'avg', '(', 'capacity', ')', ',', 'max', '(', 'capacity', ')', 'from', 'stadium']","['select', 'avg', '(', 'capacity', ')', ',', 'max', '(', 'capacity', ')', 'from', 'stadium']","['What', 'is', 'the', 'average', 'and', 'maximum', 'capacities', 'for', 'all', 'stadiums', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the average and maximum capacities for all stadiums ? <query> "," 
SELECT
  avg(capacity) as average_capacity,
  max(capacity) as maximum_capacity
FROM
  stadium
"
18,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",What is the name and capacity for the stadium with highest average attendance?,"['SELECT', 'name', ',', 'capacity', 'FROM', 'stadium', 'ORDER', 'BY', 'average', 'DESC', 'LIMIT', '1']","['select', 'name', ',', 'capacity', 'from', 'stadium', 'order', 'by', 'average', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'and', 'capacity', 'for', 'the', 'stadium', 'with', 'highest', 'average', 'attendance', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name and capacity for the stadium with highest average attendance? <query> "," 
SELECT 
  name,
  capacity
FROM
  stadium
WHERE
  (SELECT
    AVG(attendance)
  FROM
    game
  WHERE
    game.stadium_id = stadium.id
  ) = (SELECT
    MAX(AVG(attendance))
  FROM
    game
  WHERE
    game.stadium_id = stadium.id)
</query>
"
19,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",What is the name and capacity for the stadium with the highest average attendance?,"['SELECT', 'name', ',', 'capacity', 'FROM', 'stadium', 'ORDER', 'BY', 'average', 'DESC', 'LIMIT', '1']","['select', 'name', ',', 'capacity', 'from', 'stadium', 'order', 'by', 'average', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'and', 'capacity', 'for', 'the', 'stadium', 'with', 'the', 'highest', 'average', 'attendance', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name and capacity for the stadium with the highest average attendance? <query> "," 
SELECT 
  name,
  capacity
FROM
  stadium
WHERE
  (SELECT
    AVG(attendance)
  FROM
    game
  WHERE
    game.stadium_id = stadium.id
  ) = (SELECT
    MAX(AVG(attendance))
  FROM
    game
  WHERE
    game.stadium_id = stadium.id)
</query>
"
20,concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,How many concerts are there in year 2014 or 2015?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'concert', 'WHERE', 'YEAR', '=', '2014', 'OR', 'YEAR', '=', '2015']","['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']","['How', 'many', 'concerts', 'are', 'there', 'in', 'year', '2014', 'or', '2015', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many concerts are there in year 2014 or 2015? <query> "," 
SELECT AVG(<bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos>"
21,concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,How many concerts occurred in 2014 or 2015?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'concert', 'WHERE', 'YEAR', '=', '2014', 'OR', 'YEAR', '=', '2015']","['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']","['How', 'many', 'concerts', 'occurred', 'in', '2014', 'or', '2015', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many concerts occurred in 2014 or 2015? <query> "," 
SELECT COUNT(DISTINCT(c.id))
FROM concert c
WHERE c.date BETWEEN '2014-01-01' AND '2015-12-31'
</query>
"
22,concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",Show the stadium name and the number of concerts in each stadium.,"['SELECT', 'T2.name', ',', 'count', '(', '*', ')', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'GROUP', 'BY', 'T1.stadium_id']","['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'group', 'by', 't1', '.', 'stadium_id']","['Show', 'the', 'stadium', 'name', 'and', 'the', 'number', 'of', 'concerts', 'in', 'each', 'stadium', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the stadium name and the number of concerts in each stadium. <query> "," 
SELECT
  s.name,
  COUNT(c.id)
FROM
  stadium s
  JOIN concert c ON s.id = c.stadium_id
GROUP BY
  s.name
ORDER BY
  COUNT(c.id) DESC
"
